(PRICE)

+----------------------------------+-------+--------+------------+--+
|           neighborhood           |  min  |  max   |    avg     |
+----------------------------------+-------+--------+------------+--+
| NULL                             | NULL  | NULL   | NULL       |
|   Harlem                         | 800   | 800    | 800        |
|  Hamilton Heights                | 800   | 800    | 800        |
|  Harlem                          | 1000  | 1000   | 1000       |
|  Harlem                          | 1000  | 1000   | 1000       |
|  In`wood                         | 1000  | 1000   | 1000       |
|  Inwood                          | 1000  | 1500   | 1339       |
|  Inwood                          | 775   | 1335   | 1030       |
|  Manhattan                       | 125   | 1825   | 1009.625   |
|  Manhattan                       | 1124  | 1124   | 1124       |
|  New York cty                    | 1825  | 1825   | 1825       |
|  Washington Heights              | 890   | 1350   | 1110       |
|  uptown                          | 1285  | 1300   | 1295       |
|  uptown                          | 1300  | 1300   | 1300       |
| 214 W.96th St. 3A                | 2350  | 2350   | 2350       |
| 257 W. 10th St. 1W               | 2895  | 2895   | 2895       |
| 56 Beaver St.,102                | 2555  | 2555   | 2555       |
| Astoria                          | 2250  | 2250   | 2250       |
| Battery Park                     | 665   | 4095   | 1735.7692  |
| Battery Park City                | 2175  | 5300   | 2831       |
| Bowery                           | 700   | 1335   | 915        |
| COLUMBUS CIRCLE                  | 2145  | 2145   | 2145       |
| Central Park                     | 3750  | 4000   | 3875       |
| Chelsea                          | 0     | 17500  | 4036.9286  |
| Chinatown                        | 50    | 2750   | 1349       |
| Chinatown                        | 1895  | 8000   | 3124.1667  |
| Civic Center                     | 2470  | 2470   | 2470       |
| Clinton                          | 1599  | 3200   | 2217.75    |
| Columbus circle                  | 2745  | 2745   | 2745       |
| Downtown                         | 2     | 14500  | 3581.7     |
| EAST 91ST                        | 2350  | 2350   | 2350       |
| East Harlem                      | 0     | 4495   | 1894.5981  |
| East Village                     | 0     | 6795   | 3508.7267  |
| FLAT IRON                        | 2650  | 2650   | 2650       |
| Financial District               | 695   | 9795   | 3734.9375  |
| Flatiron                         | 650   | 12000  | 4320.9643  |
| Flatiron District                | 6650  | 6650   | 6650       |
